angle,distance,intensity
-14.442,1.488000035,98
-14.266,1.493999958,99
-14.09,1.493999958,98
-13.914,1.488000035,98
-13.738,1.488000035,99
-13.562,1.493999958,96
-13.386,1.488000035,98
-13.21,1.485999942,98
-13.034,1.478000045,99
-12.858,1.493999958,99
-12.682,1.493999958,98
-12.506,1.478000045,99
-12.33,1.483999968,97
-12.154,1.478000045,98
-11.978,1.483999968,98
-11.802,1.473999977,98
-11.626,1.473999977,98
-11.45,1.465999961,99
-11.274,1.472000003,99
-11.098,1.478000045,98
-10.922,1.463999987,98
-10.746,1.463999987,98
-10.57,1.463999987,98
-10.394,1.463999987,98
-10.218,1.463999987,98
-10.042,1.478000045,98
-9.866,1.463999987,97
-9.69,1.465999961,97
-9.514,1.463999987,97
-9.338,1.457999945,99
-9.162,1.472000003,98
-8.986,1.463999987,98
-8.81,1.45599997,98
-8.634,1.463999987,97
-8.458,1.465999961,99
-8.282,1.45599997,99
-8.106,1.450000048,98
-7.93,1.457999945,97
-7.754,1.457999945,99
-7.578,1.450000048,100
-7.402,1.457999945,97
-7.226,1.457999945,98
-7.05,1.444000006,100
-6.874,1.457999945,98
-6.698,1.452000022,99
-6.522,1.468000054,97
-6.346,1.453999996,97
-6.17,1.450000048,98
-5.994,1.457999945,98
-5.818,1.450000048,97
-5.642,1.444000006,98
-5.466,1.450000048,98
-5.29,1.452000022,97
-5.114,1.457999945,98
-4.938,1.450000048,97
-4.762,1.452000022,98
-4.586,1.457999945,99
-4.41,1.452000022,97
-4.234,1.444000006,98
-4.058,1.457999945,98
-3.882,1.450000048,99
-3.706,1.450000048,98
-3.53,1.457999945,98
-3.354,1.450000048,97
-3.178,1.450000048,98
-3.002,1.45599997,98
-2.826,1.44599998,97
-2.65,1.44599998,99
-2.474,1.447999954,98
-2.298,1.43599999,98
-2.122,1.434000015,99
-1.946,1.44599998,98
-1.77,1.444000006,98
-1.594,1.452000022,97
-1.418,1.44599998,98
-1.242,1.444000006,99
-1.066,1.419999957,98
-0.89,1.452000022,100
-0.714,1.450000048,98
-0.538,1.429999948,98
-0.362,1.427999973,97
-0.186,1.434000015,97
-0.01,1.444000006,98
0.166,1.444000006,98
0.342,1.457999945,98
0.518,1.427999973,98
0.694,1.43599999,101
0.87,1.44599998,98
1.046,1.444000006,98
1.222,1.444000006,98
1.398,1.43599999,100
1.574,1.434000015,99
1.75,1.444000006,98
1.926,1.460000038,99
2.102,1.43599999,98
2.278,1.434000015,97
2.454,1.429999948,97
2.63,1.447999954,98
2.806,1.442000031,98
2.982,1.450000048,98
3.158,1.427999973,98
3.334,1.450000048,99
3.51,1.444000006,99
3.686,1.44599998,98
3.862,1.453999996,99
4.038,1.444000006,99
4.214,1.442000031,98
4.39,1.44599998,99
4.566,1.44599998,97
4.742,1.444000006,97
4.918,1.457999945,98
