«ø∂»,æ‡¿Î
107,0.561999977
104,0.546000004
103,0.546000004
104,0.551999986
103,0.568000019
105,0.560000002
106,0.551999986
104,0.565999985
105,0.561999977
105,0.561999977
105,0.568000019
105,0.560000002
106,0.560000002
105,0.565999985
104,0.565999985
105,0.561999977
104,0.560000002
106,0.565999985
105,0.561999977
0, inf
0, inf
0, inf
104,0.560000002
103,0.561999977
0, inf
0, inf
0, inf
0, inf
105,0.56400001
106,0.568000019
105,0.565999985
105,0.565999985
103,0.560000002
104,0.565999985
106,0.568000019
105,0.568000019
104,0.561999977
104,0.579999983
104,0.561999977
102,0.565999985
103,0.565999985
103,0.561999977
103,0.568000019
105,0.575999975
106,0.574000001
0, inf
0, inf
0, inf
103,0.575999975
105,0.574000001
105,0.579999983
104,0.565999985
104,0.579999983
106,0.565999985
103,0.574000001
103,0.574000001
105,0.574000001
106,0.575999975
106,0.575999975
105,0.579999983
106,0.578000009
103,0.578000009
102,0.588
144,0.603999972
160,0.593999982
0, inf
0, inf
0, inf
0, inf
146,3.405999899
145,3.398000002
117,3.421999931
76,3.497999907
78,3.523999929
80,3.553999901
81,3.539999962
81,3.53399992
81,3.529999971
85,3.546000004
0, inf
0, inf
0, inf
0, inf
0, inf
93,2.703999996
73,2.701999903
70,2.681999922
70,2.660000086
69,2.638000011
69,2.635999918
69,2.604000092
69,2.589999914
70,2.565999985
70,2.553999901
70,2.529999971
71,2.53399992
69,2.5
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
184,0.634000003
178,0.614000022
151,0.617999971
102,0.615999997
102,0.610000014
0, inf
0, inf
0, inf
105,0.600000024
105,0.589999974
106,0.59799999
104,0.592000008
106,0.592000008
105,0.60799998
103,0.593999982
105,0.593999982
104,0.59799999
106,0.589999974
106,0.592000008
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
79,0.515999973
81,0.527999997
0, inf
0, inf
0, inf
87,0.54400003
85,0.537999988
87,0.547999978
86,0.532000005
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
177,1.14199996
176,1.129999995
178,1.129999995
177,1.149999976
176,1.148000002
176,1.138000011
177,1.133999944
175,1.139999986
174,1.146000028
174,1.133999944
170,1.136000037
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
0, inf
101,0.486000001
108,0.486000001
0, inf
0, inf
0, inf
182,0.483999997
191,0.486000001
0, inf
0, inf
0, inf
0, inf
177,1.506000042
170,1.519999981
163,1.506000042
